Carspaces,Bathrooms,Bedrooms,Address,Price,Date_time,Date,Area,Name,Type_Block of units,Type_House,Type_Other,Type_Residential land,Type_Retirement living,Type_Serviced apartment,Type_Studio,Type_Terrace,Type_Townhouse,Type_Unit,Type_Villa,Type_Warehouse,Suburb_Alphington,Suburb_Ashburton,Suburb_Ashwood,Suburb_Balwyn,Suburb_Balwyn North,Suburb_Blackburn South,Suburb_Bonbeach,Suburb_Box Hill,Suburb_Box Hill South,Suburb_Burwood,Suburb_Burwood East,Suburb_Camberwell,Suburb_Canterbury,Suburb_Carrum,Suburb_Chelsea,Suburb_Chelsea Heights,Suburb_Clifton Hill,Suburb_Deepdene,Suburb_Fairfield,Suburb_Frankston North,Suburb_Glen Iris,Suburb_Hawthorn,Suburb_Hawthorn East,Suburb_Ivanhoe,Suburb_Kew,Suburb_Kew East,Suburb_Mount Waverley,Suburb_Northcote,Suburb_Patterson Lakes,Suburb_Richmond,Suburb_Seaford,Suburb_Surrey Hills,Total_rooms,Price_of_Bedroom,Unit,House,Time
2.0,1.0,3.0,"1/1 Scott Grove, Burwood",1005000.0,2025-09-18 12:00:00,Inspection Thu 18 Sep,287m²,Hans Liu,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,167500.0,1,1,12:00 PM
2.0,3.0,3.0,"2B Eyre Street, Burwood",1050000.0,2025-09-18 12:00:00,Inspection Thu 18 Sep,249m²,Hans Liu,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5.0,175000.0,0,2,12:00 PM
2.0,3.0,4.0,"12 Tennyson St, Burwood",1500000.0,2025-09-18 12:00:00,,,Tim Lu,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6.0,214285.7142857143,0,12,12:00 PM
1.0,1.0,2.0,"103/415 Highbury Road, Burwood",485000.0,2025-09-18 12:00:00,,65m²,Yubee Wu,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3.0,121250.0,103,415,12:00 PM
4.0,2.0,4.0,"2/24 Cecil Street, Kew",2250000.0,2025-09-18 12:00:00,Inspection Thu 18 Sep,274m²,Brian Chen,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,8.0,250000.0,2,24,12:00 PM
1.0,2.0,3.0,"67 Pakington Street, Kew",1600000.0,2025-09-18 12:00:00,Inspection Sat 20 Sep,187m²,Lauren McElroy,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,4.0,320000.0,0,67,12:00 PM
1.0,2.0,3.0,"29 Murray Drive, Burwood",1350000.0,2025-09-18 12:00:00,Inspection Thu 18 Sep,,Nicole Lismore,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,4.0,270000.0,0,29,12:00 PM
2.0,2.0,3.0,"22 John Street, Kew",5450000.0,2025-09-18 12:00:00,,835m²,William Chen,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,5.0,908333.3333333334,0,22,12:00 PM
2.0,2.0,4.0,"52 Fellows Street, Kew",5250000.0,2025-09-18 12:00:00,Inspection Sat 20 Sep,"1,180m²",Stuart Evans,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,6.0,750000.0,0,52,12:00 PM
2.0,2.0,5.0,"4 Wiltshire Drive, Kew",2695000.0,2025-09-18 12:00:00,,,Vince Naz,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,7.0,336875.0,0,4,12:00 PM
