web-scraper-order,web-scraper-start-url,pagination-selector,image-src,data,data2,data3,data4,data5,data6,position,position2,data7,position3,data8,price,image2-src,image3-src,name
"1758100712-1","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://i2.au.reastatic.net/340x64/c548a49f2b42dbec9f337e433bccf8a6721755d0d97d8952b0ed9d74bb09aa6a/logo.jpg","•","","","Under offer","","","2","1","Unit","2","4 Alison Court, Carrum","$600,000 - $650,000","https://i2.au.reastatic.net/800x600/11776f1ae7d315e886294eaf2f93580faf7dde94c906d7f475d150fa486b1948/image.jpg","https://i2.au.reastatic.net/200x200-crop,gravity=north/2dada5af62d264646875a8a159a8416a5a61e358b9d4eef70d4e0b8551cf330d/main.jpg","Troy Pullar"
"1758100712-2","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","","","","","","","","",""
"1758100712-3","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://i2.au.reastatic.net/340x64/19b2147dcb83eff6ef2dfb97db7d5da12287e7c82df7eeb1f63613f11f12f51e/logo.jpg","•","Auction Sat 11 Oct","10:00 am","Added 1 hour ago","Inspection Fri 19 Sep 11:00 am","Inspection Fri 19 Sep","2","2","House","4","16 Victor Avenue, Kew","$2,750,000 - 2,850,000","https://i2.au.reastatic.net/800x600/4f3401faabf80bcd8efd22762ddc69505757c01b1bf5eb4f47b8e035fe744288/image.jpg","https://i2.au.reastatic.net/200x200-crop,gravity=north/7fec560beb2c86ea76e28c5c9580d6bea65390ab3a11eeae79e6d9f454cdabb2/main.jpg","Ripple Wu"
"1758100712-4","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://i2.au.reastatic.net/340x64/4797a623ebf45f58a8c2a3fc7500c10b4565fd96be10bfaa6a950b903ca62bc8/logo.jpg","•","","","Added 2 hours ago","Inspection Sat 20 Sep 2:30 pm","Inspection Sat 20 Sep","4","2","House","3","101 Sackville Street, Kew","$3,200,000 - $3,500,000","https://i2.au.reastatic.net/800x600/e78b96a43d4263e26e5ad67d67b9df290d31935cd6c61cacd9804449dc6675aa/image.jpg","https://i2.au.reastatic.net/200x200-crop,gravity=north/3181d33ff3bcfcd586c50a9bfff70d18fd4879dd99eff8276a3fde38cbf7ce9f/main.jpg","Perry Zhou"
"1758100712-5","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","","","Added 2 hours ago","Inspection Sat 20 Sep 10:30 am","Inspection Sat 20 Sep","2","4","House","5","8 Monterey Close, Kew","$3,500,000 - $3,800,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/f89ba0dad539e9ecceb1a83c67f33e8c8706c10eb21a2c51c87753b4fa79fba0/main.jpg","Samuel Jay"
"1758100712-6","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 20 Sep","10:30 am","","Inspection tomorrow 3:45 pm","Inspection tomorrow","2","2","Townhouse","3","4/15 Edwards Street, Burwood","Auction this Saturday | $1,200,000 - $1,300,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/7352ea603376eba14c1ab38bfa09e42e4286dc6ad8166441806159a354bd0bf6/main.jpg","Andy Zeng"
"1758100712-7","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","","","","","","","","",""
"1758100712-8","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","Auction Sat 11 Oct","11:30 am","Added 3 hours ago","Inspection Sat 20 Sep 10:45 am","Inspection Sat 20 Sep","1","2","Townhouse","3","3/912 Glenferrie Road, Kew","Auction $950,000 - $1,040,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/3868f2ca02df3eca93dfaddc500e114e36823ee0628686e114c30a92aeb731a0/main.jpg","Nick Whyte"
"1758100712-9","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","","","","","","","","","","","","","","","",""
"1758100712-10","https://www.realestate.com.au/buy/in-kew,+vic+3101%3b+carrum,+vic+3197%3b+burwood,+vic+3125/list-1?includeSurrounding=false&activeSort=relevance&source=refinement","","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-f1f1522ca92eb65582e7.svg","•","","","Added 4 hours ago","Inspection Sat 20 Sep 10:00 am","Inspection Sat 20 Sep","2","2","Townhouse","3","3/1289 Burke Road, Kew","$1,400,000 - $1,500,000","https://argonaut.au.reastatic.net/resi-property/prod/listing-experience-web/placeholder-d012bfd7d088c7ee475b.svg","https://i2.au.reastatic.net/200x200-crop,gravity=north/9a2964298f032abadfd152096679f8ff2381c3c165bf1816d0d5b562dad6c761/main.jpg","Jerry Lin"
