Date,Carspaces,Bathrooms,Type,Bedrooms,Address,Price,Name
,2,1,Unit,2,"4 Alison Court, Carrum","$600,000 - $650,000",Troy Pullar
Inspection Sun 21 Sep,1,2,House,2,"5 Bronte Avenue, Burwood","$900,000",
Inspection Fri 19 Sep,2,2,House,4,"16 Victor Avenue, Kew","$2,750,000 - 2,850,000",Ripple Wu
Inspection Sat 20 Sep,4,2,House,3,"101 Sackville Street, Kew","$3,200,000 - $3,500,000",Perry Zhou
Inspection Sat 20 Sep,2,4,House,5,"8 Monterey Close, Kew","$3,500,000 - $3,800,000",Samuel Jay
Inspection tomorrow,2,2,Townhouse,3,"4/15 Edwards Street, Burwood","Auction this Saturday | $1,200,000 - $1,300,000",Andy Zeng
,,,,,,,
Inspection Sat 20 Sep,1,2,Townhouse,3,"3/912 Glenferrie Road, Kew","Auction $950,000 - $1,040,000",Nick Whyte
,,,,,,,
Inspection Sat 20 Sep,2,2,Townhouse,3,"3/1289 Burke Road, Kew","$1,400,000 - $1,500,000",Jerry Lin
,2,2,Townhouse,3,"6/635 Nepean Highway, Carrum","$950,000 - $1,045,000",Garry Donovan
,2,2,,2,"5 Stawell Street, Kew",,
Inspection Sat 20 Sep,2,1,Unit,3,"1/78 Robinlee Avenue, Burwood","$760,000 - $820,000",Steve Dardamanis
,,,,,,,
,1,1,,1,"155 Warrigal Road, Burwood",,
,2,2,,"$1,692,000",,,
Inspection Sat 20 Sep,1,1,House,3,"8 Andrews Street, Burwood","$1,150,000 - $1,250,000",Luke Banitsiotis
,2,2,,2,"378 Cotham Road, Kew",,
,2,2,,2,"85 Studley Rark Rd, Kew",,
Inspection tomorrow,3,2,Unit,3,"1/74 Walpole Street, Kew","$1,600,000 - $1,750,000",Richard Winneke
,,,,,,,
Inspection tomorrow,2,,Townhouse,3,"1/427 Warrigal Road, Burwood","Auction $850,000-$930,000",Hans Liu
Inspection Sat 20 Sep,2,2,Townhouse,3,"1/71 Wellington Street, Kew",,Lloyd Lawton
Inspection tomorrow,1,1,Unit,2,"1/14-16 Somers Street, Burwood","$698,000",BRENDAN CAIN
Inspection tomorrow,1,1,House,3,"17 Scott Street, Kew","$1,600,000 - $1,750,000",Patrick Dennis
Inspection tomorrow,2,2,Apartment,3,"202/4 Barenya Court, Kew",,Scarlett Hang
,,,,,,,
Inspection tomorrow,2,1,Unit,3,"7/33 Mcintyre Street, Burwood","AUCTION $750,000 - $820,000",Cain Wang
,1,1,,1,"100 Station Street, Burwood",,
Inspection tomorrow,2,3,House,3,"2B Eyre Street, Burwood","Auction $1,000,000 - $1,100,000",Hans Liu
Inspection tomorrow,1,1,Apartment,3,"2/107 Walpole Street, Kew","$800,000 - $880,000",Danny See
Inspection Sat 20 Sep,2,1,Apartment,2,"134 Wiltshire Drive, Kew","$830,000 - $850,000",Shawn White
,,,,,,,
Inspection tomorrow,2,2,House,3,"61 Argyle Road, Kew","$3,000,000 - $3,300,000",Greg Bowring
,,,,,,,
Inspection tomorrow,1,1,Apartment,2,"12/39 Pakington Street, Kew","$690,000 - $725,000",Mark Salvati
Inspection tomorrow,1,1,Unit,2,"1/28 McComas Grove, Burwood",,Britney Flack
,2,2,Townhouse,3,"22 Cookson Way, Burwood",,Alan Zhang
,2,3,,3,"9  O’Shaughnessy Street, Kew",,
,,,,,,,
Inspection tomorrow,2,1,Unit,3,"1/1 Scott Grove, Burwood","Auction: $960,000 - $1,050,000",Hans Liu
,2,3,Townhouse,4,"12 Tennyson St, Burwood","$1,450,000 - $1,550,000",Tim Lu
,1,1,Apartment,2,"103/415 Highbury Road, Burwood","Private Sales :$480,000-$490,000",Yubee Wu
Inspection tomorrow,4,,Townhouse,4,"2/24 Cecil Street, Kew","$2,200,000 - $2,300,000",Brian Chen
Inspection tomorrow,2,4,House,4,"31 First Avenue, Kew",,Patrick Dennis
,,,,,,,
Inspection Sat 20 Sep,1,2,Townhouse,3,"67 Pakington Street, Kew","$1,550,000 - $1,650,000",Lauren McElroy
,2,,Apartment,2,"2 Wiltshire Drive, Kew",,Vince Naz
Inspection tomorrow,1,2,House,3,"29 Murray Drive, Burwood","$1,350,000",Nicole Lismore
,,,Residential land,835m²,"22 John Street, Kew","$5,300,000 - $5,600,000",William Chen
Inspection Sat 20 Sep,2,2,House,4,"52 Fellows Street, Kew","$5,000,000 - $5,500,000",Stuart Evans
,,,,,,,
,2,2,,2,"18 Barry St, Kew",,
Inspection tomorrow,2,4,House,6,"86 Normanby Road, Kew",,Perry Zhou
,2,2,,3,"92 Peel Street, Kew",,
,2,2,House,5,"4 Wiltshire Drive, Kew","$2,590,000 - $2,800,000",Vince Naz
,4,4,House,7,"210-212 Burwood Highway, Burwood","Private Sale: $3,500,000",Jenny Gao
,,,,,,,
Inspection Sat 20 Sep,2,2,Townhouse,3,"2/47 Gillard Street, Burwood",,Janelle Gu
,1,1,,1,"361 Burwood Highway, Burwood",,
Inspection tomorrow,2,,Townhouse,3,"3/53 Elgar Road, Burwood","$892,500",Tony Kwan
Inspection tomorrow,4,,House,5,"55 Somers Street, Burwood",,Jessica Chin
Inspection tomorrow,2,3,Townhouse,4,"1/13 Ermington Place, Kew","$1,550,000 - $1,650,000",Mark Josem
,,,,,,,
,4,2,House,3,"77 Middleborough Road, Burwood","$2,500,000",
,,,,,,,
,2,3,Townhouse,4,"Address available on request, Burwood",,
,1,1,Apartment,1,"110/326-328 Burwood Hwy, Burwood","$370,000-$407,000 Vendor must sell!",
,1,1,Apartment,2,"G03/1277 Burke Road, Kew",,
,1,1,Apartment,2,"201/1277 Burke Road, Kew",,
,,,,,,,
,1,2,Apartment,2,"111/379-381 Burwood Highway, Burwood","$465,000-$480,000",
,1,2,Apartment,2,"G01/1277 Burke Road, Kew",,
,1,2,Apartment,2,"203/1277 Burke Road, Kew",,
,1,1,Apartment,2,"103/1277 Burke Road, Kew",,
,1,1,Apartment,1,"106/1277 Burke Road, Kew",,
,,,,,,,
,1,1,Apartment,2,"112/2 Yarra Bing Crescent, Burwood","$470,000",
,1,1,Apartment,2,"305/260 Burwood Highway, Burwood","$460,000- $490,000",
,,,,,,,
,1,1,House,5,"Address available on request, Burwood","Expression of Interest $1,450,000 to $1,500,000",
,2,3,Townhouse,4,"Address available on request, Burwood","$1,490,000 - $1,550,000",
,2,2,Apartment,3,"g01/92 Peel Street, Kew",,
,2,2,Apartment,3,"g02/92 Peel Street, Kew",,
,,,,,,,
,2,4,Townhouse,4,"1/312 Cotham Road, Kew",,
,2,4,Townhouse,4,"312 Cotham Road, Kew",,
,2,2,Apartment,3,"92 Peel Street, Kew",,
,2,2,Apartment,3,"92 Peel Street, Kew",,
,,1,Apartment,1,"21/3 Studley Park Road, Kew","$149,000 - $155,000",
,,,,,,,
,2,2,Apartment,3,"92 Peel Street, Kew",,
,1,2,Retirement living,2,"69/378 Cotham Road, Kew","$1,090,000",
,1,2,Retirement living,2,"24/378 Cotham Road, Kew","$1,185,000",
Inspection Sat 20 Sep,2,3,Apartment,3,"303/47 McIntyre Street, Burwood","$1,365,000",
,2,3,Townhouse,4,"312 Cotham Road, Kew",,
,,,,,,,
,2,3,Townhouse,4,"312 Cotham Road, Kew",,
,2,3,Townhouse,3,"3/312 Cotham Road, Kew",,
,2,2,Townhouse,3,"312 Cotham Road, Kew",,
,1,2,Retirement living,2,"132/100 Station Street, Burwood","$1,250,000",
,1,1,Retirement living,2,"63/2 Malmsbury Street, Kew","$750,000",
,,,,,,,
,,1,Studio,1,"23/3 Studley Park Road, Kew","$195,000",
,1,2,Apartment,3,"106/415 Highbury Road, Burwood","$590,000 - $620,000",
,1,,Retirement living,2,"128/100 Station Street, Burwood","$995,000",
,2,4,House,6,"25 Cypress Way, Kew","$2,600,000-$2,800,000",
,,3,House,4,"Address available on request, Kew",,
,,,,,,,
Inspection Sat 20 Sep,1,1,Apartment,2,"104/379-381 Burwood Hwy, Burwood",,
,,,,,,,
,1,1,Apartment,2,"203/373-377 Burwood Highway, Burwood","$430,000 - $460,000",
,3,,House,4,"Address available on request, Burwood",,
,2,2,Apartment,2,"96/378 Cotham Road, Kew","$1,785,000",
,5,,House,4,"15 Fernhurst Grove, Kew",,
,,,,,,,
,4,4,House,3,"5 Stawell Street, Kew",,
Inspection Sat 20 Sep,2,4,Townhouse,5,"1/42 roslyn st, Burwood","$1,800,000-$1,880,000",
,2,2,House,4,"Address available on request, Burwood",,
,1,3,House,3,"Address available on request, Kew",,
,1,1,Retirement living,2,"146/100 Station Street, Burwood","$1,075,000",
,,,,,,,
,1,,Retirement living,2,"116/100 Station Street, Burwood","$1,025,000",
,2,4,House,4,"36 Cypress Way, Kew","$2,400,000-$2,600,000",
,1,2,Retirement living,2,"143/100 Station Street, Burwood","$745,000",
,2,3,Townhouse,4,"Address available on request, Burwood",,
,2,3,Apartment,3,"Address available on request, Kew","$3,500,000",
,,,,,,,
,1,,Retirement living,2,"76/100 Station Street, Burwood","$945,000",
,4,,House,5,"Address available on request, Kew","$2,850,000",
,3,2,Townhouse,3,"Address available on request, Kew","$2,789,000",
,2,3,Townhouse,4,"Address available on request, Burwood",,
,3,,Townhouse,4,"Address available on request, Burwood","$1,499,000",
,,,,,,,
,2,,Retirement living,2,"138/100 Station Street, Burwood","$1,150,000",
,1,1,Apartment,2,"101/8 Yarra Bing Crescent, Burwood","$460,000-$490,000",
,2,1,Apartment,3,"8/65-67 Cotham Road, Kew","$799,000",
,2,4,House,5,"11 Glengarry Avenue, Burwood","$2,900,000 - $3,100,000",
,2,3,Townhouse,3,"2/46 Gillard Street, Burwood","$1,100,000-$1,160,000",
,,,,,,,
,2,2,House,6,"6 Kellett Grove, Kew","$3,288,888 - $3,608,888",
,,,,,,,
,2,2,Apartment,3,"361-363 Burwood Highway, Burwood","$1,059,000",
,1,1,Apartment,1,"361-363 Burwood Highway, Burwood","$469,000",
,1,2,Apartment,2,"361-363 Burwood Highway, Burwood","$595,000",
,2,3,Apartment,3,"19 Hartington Street, Kew",,
,,,,,,,
,2,,Townhouse,3,"733 High Street, Kew","$1,950,000",
,2,,Townhouse,3,"1/2 Clyde Street, Kew","$1,750,000",
,2,4,Townhouse,4,"Address available on request, Burwood","$1,495,000",
,2,2,Retirement living,2,"85/378 Cotham Road, Kew","$1,025,000",
,2,2,Apartment,3,"9 O'Shaughnessy, Kew",,
,,,,,,,
,4,4,Apartment,4,"9 O'Shaughnessy, Kew",,
,2,2,Apartment,3,"9 O'Shaughnessy, Kew",,
,2,3,Apartment,3,"9 O'Shaughnessy, Kew",,
,2,3,Apartment,3,"9 O'Shaughnessy, Kew",,
,,1,Apartment,1,"24/3 Studley Park Road, Kew","Private Sale $190,000",
,,,,,,,
,3,,Townhouse,3,"Address available on request, Kew","$2,650,000",
,1,1,Retirement living,2,"55/100 Station Street, Burwood","$795,000",
,1,1,Retirement living,1,"142/100 Station Street, Burwood","$595,000",
,1,1,Apartment,1,"361-363 Burwood Highway, Burwood","$525,000",
,1,1,Apartment,1,"361-363 Burwood Highway, Burwood","$455,000",
,,,,,,,
,1,1,Apartment,1,"361-363 Burwood Highway, Burwood","$555,000",
,1,2,Apartment,2,"361-363 Burwood Highway, Burwood","$765,000",
,1,2,Apartment,2,"361-363 Burwood Highway, Burwood","$679,000",
,2,2,Apartment,3,"361-363 Burwood Highway, Burwood","$855,000",
,2,2,Apartment,3,"361-363 Burwood Highway, Burwood","$959,000",
,,,,,,,
Inspection Sat 20 Sep,4,,Townhouse,5,"3/10 Wridgway Avenue, Burwood",,Dustin Tian
,,,,,,,
Inspection tomorrow,2,2,Apartment,3,"202/41 Walpole Street, Kew",,Davide Lettieri
,1,1,Apartment,1,"103/2 Yarra Bing Crescent, Burwood",,Fio Gao
Inspection Sat 20 Sep,2,3,House,4,"4 Dunlop Avenue, Kew","$2,900,000 - $3,150,000",Chris Barrett
,4,1,House,3,"24 Mcleod Road, Carrum","$875,000 - $925,000",Danny O'Brien
,,,,,,,
,3,4,House,6,"3 Edward Street, Kew",,Elsa Li
,,6,House,19,"3 Malmsbury Street, Kew",$5m - $5.5m,Theo Politis
Inspection Sat 20 Sep,2,1,House,3,"78 Whatley Street, Carrum","$790,000 - $840,000",Shane O'Sughrue
Inspection tomorrow,1,1,Apartment,2,"3/167 Brougham Street, Kew","$580,000 - $610,000",Lachie Earl
Inspection Sat 20 Sep,4,,House,5,"102 Walpole Street, Kew","$4,300,000 - $4,500,000",Paul Richards
,,,,,,,
Inspection Sat 20 Sep,1,2,Apartment,2,"G03B/57 Middleborough Road, Burwood","$450,000 - $495000",Tim Chan
Inspection tomorrow,2,5,House,5,"49 Mary Street, Kew",,Kinson Guo
Inspection Sat 20 Sep,4,,House,6,"65 High Street South, Kew","$4,500,000 - $4,950,000",Peter Gray
Inspection Sat 20 Sep,6,6,Block of units,18,"1-6/96 Willsmere Road, Kew","EOI $3,200,000 - $3,500,000",Nick Whyte
Inspection tomorrow,3,3,Townhouse,5,"2/24 Montpellier Road, Burwood","AUCTION $1,200,000 - $1,320,000",Kenneth Kong
,,,,,,,
,2,2,Apartment,3,"102/20 Main Drive, Kew","$1,730,000 - $1,900,000",Alex Broque
,4,2,House,4,"9 Church Road, Carrum","$1,450,000 - $1,570,000",Genevieve Hill
Inspection Sat 20 Sep,1,1,Unit,2,"2/179 Brougham Street, Kew","$700,0000-$750,000",Peter Nicolls
Inspection tomorrow,2,5,House,5,"4 Adeney Avenue, Kew",,Ada Taylor
Inspection Sat 20 Sep,2,2,Apartment,3,"301/47 McIntyre Street, Burwood","$1,050,000",Agent: Lawrence Yan
,,,,,,,
Inspection Sat 20 Sep,1,2,Apartment,2,"104/47 McIntyre Street, Burwood","$815,000",Agent: Lawrence Yan
,1,1,Apartment,1,"107/1 Delany Avenue, Burwood",,
,1,2,Townhouse,2,"5/87 Middleborough Road, Burwood",$650k to $700k,
,,,Residential land,739m²,"278 Burwood Highway, Burwood","$2,600,000 - $2,800,000",
,,1,Apartment,1,"44/388-390 Burwood Highway, Burwood",,
,,,,,,,
Inspection Sat 20 Sep,2,2,Villa,3,"1/156 Peel Street, Kew","$1,320,000",Yeow Lim
,,,,,,,
,1,1,Apartment,2,"6/48 Derby Street, Kew",,Sage Harris-McGovern
Inspection tomorrow,2,4,House,5,"35 Main Drive, Kew",,Helen Yan
Inspection Sat 20 Sep,2,2,House,4,"2/112 Princess Street, Kew",,Erica Wu
Inspection Sat 20 Sep,1,1,Apartment,2,"LG05/373-377 Burwood Highway, Burwood",,Cici Chen
,,,,,,,
,2,2,House,4,"2/130 Parkhill Road, Kew",,Jordan Kamaretsos
Inspection Sat 20 Sep,2,2,Townhouse,3,"5/711 Nepean Highway, Carrum","$1,190,000 - $1,290,000",Kristyn Buckley
,2,1,House,4,"Address available on request, Burwood",,Tony Che
Inspection tomorrow,1,1,Apartment,2,"212/8 Yarra Bing Crescent, Burwood","$415,000 - $450,000",Janssen Xiang
Inspection tomorrow,1,1,Townhouse,2,"2/12 Hope Court, Kew","No Body Corporate ($800,000 - $880,000)",Rachael Luo
,,,,,,,
,1,2,Apartment,2,"G05B/57 Middleborough Road, Burwood",,Faye Yang
Inspection Sat 20 Sep,1,1,Apartment,1,"B103A/399 Burwood Highway, Burwood","$309,000",Larry Zhou
Inspection tomorrow,2,5,House,5,"5 Evans Road, Kew",,William Chen
,1,,House,4,"37 Walpole Street, Kew","$6,000,000 - $6,500,000",Lloyd Lawton
Inspection Sat 20 Sep,2,4,House,5,"20 Park Avenue, Kew","$2,200,000 - $2,400,000",Leon Li
,,,,,,,
Inspection tomorrow,5,,House,5,"3 Roslyn Street, Burwood",,Chris Gong
,2,2,Apartment,3,"205/139 Burwood Highway, Burwood",,Ray White Burwood
,1,1,Apartment,1,"2/415 Highbury Road, Burwood","$360,000 - $390,000",Adrian Goegan
Inspection tomorrow,1,1,Villa,2,"3/906a Glenferrie Road, Kew","Private Sale $650,000",Sage Harris-McGovern
,,1,Apartment,1,"705/118-120 High Street, Kew","$365,000",Jeremy Desmier
,,,,,,,
Inspection tomorrow,2,,Townhouse,3,"3/16 Argyle Road, Kew","EOI $1,200,000 - $1,320,000",Shannan Burbidge
Inspection Sat 20 Sep,1,1,Apartment,2,"115/8 Yarra Bing Crescent, Burwood","$480,000 - $520,000",Mike Muncey
,1,2,Townhouse,3,"2/12 Gellibrand Street, Kew",,Alex Condon
Inspection tomorrow,2,1,Unit,3,"1/17 Cypress Avenue, Burwood",,Fio Gao
Inspection Sat 20 Sep,2,3,House,4,"2A Inverness Avenue, Burwood",,Amanda Wei
,,,,,,,
Inspection tomorrow,2,2,Townhouse,3,"4/4 Hyton Crescent, Kew","$1,350,000 - $1,450,000",Mat Suckling
,,,,,,,
Inspection Sat 20 Sep,1,1,Apartment,1,"4/233 Cotham Road, Kew","$410,000 - $450,000",Michael Chan
Inspection tomorrow,2,2,House,3,"3A Andrews Street, Burwood","1,300,000 - 1,400,000",Jing Zou
Inspection tomorrow,2,2,Townhouse,3,"4/17 Marshall Avenue, Kew","$1,600,000 - $1,760,000",Nick O'Halloran
