Carspaces,Bathrooms,Bedrooms,Address,Price,Type,Date_time,Date,Area,Name
1,1,2,"1/28 McComas Grove, Burwood",,Unit,Inspection tomorrow 5:30 pm,Inspection tomorrow,,Britney Flack
,,,,,,,,,
2,2,3,"22 Cookson Way, Burwood",,Townhouse,,,,Alan Zhang
2,2,3,"9  O’Shaughnessy Street, Kew",,,,,,
2,1,3,"1/1 Scott Grove, Burwood","Auction: $960,000 - $1,050,000",Unit,Inspection Thu 18 Sep 3:00 pm,Inspection Thu 18 Sep,287m²,Hans Liu
2,3,3,"2B Eyre Street, Burwood","Auction $1,000,000 - $1,100,000",House,Inspection Thu 18 Sep 4:00 pm,Inspection Thu 18 Sep,249m²,Hans Liu
,,,,,,,,,
2,3,4,"12 Tennyson St, Burwood","$1,450,000 - $1,550,000",Townhouse,,,,Tim Lu
,,,,,,,,,
1,1,2,"103/415 Highbury Road, Burwood","Private Sales :$480,000-$490,000",Apartment,,,65m²,Yubee Wu
4,,4,"2/24 Cecil Street, Kew","$2,200,000 - $2,300,000",Townhouse,Inspection Thu 18 Sep 1:00 pm,Inspection Thu 18 Sep,274m²,Brian Chen
2,4,4,"31 First Avenue, Kew",,House,Inspection Thu 18 Sep 12:00 pm,Inspection Thu 18 Sep,690m²,Patrick Dennis
1,2,3,"67 Pakington Street, Kew","$1,550,000 - $1,650,000",Townhouse,Inspection Sat 20 Sep 2:30 pm,Inspection Sat 20 Sep,187m²,Lauren McElroy
,,,,,,,,,
2,,2,"2 Wiltshire Drive, Kew",,Apartment,,,182m²,Vince Naz
1,2,2,,,,,,,
1,2,3,"29 Murray Drive, Burwood","$1,350,000",House,Inspection Thu 18 Sep 1:00 pm,Inspection Thu 18 Sep,,Nicole Lismore
,,835m²,"22 John Street, Kew","$5,300,000 - $5,600,000",Residential land,,,835m²,William Chen
2,2,4,"52 Fellows Street, Kew","$5,000,000 - $5,500,000",House,Inspection Sat 20 Sep 1:30 pm,Inspection Sat 20 Sep,"1,180m²",Stuart Evans
3,2,5,"23 Findon Crescent, Kew",,House,,,643m²,Nicholas Franzmann
,,,,,,,,,
2,2,2,"18 Barry St, Kew",,,,,124m²,
2,4,6,"86 Normanby Road, Kew",,House,Inspection Thu 18 Sep 4:00 pm,Inspection Thu 18 Sep,"2,041m²",Perry Zhou
2,2,3,"92 Peel Street, Kew",,,,,,
2,2,5,"4 Wiltshire Drive, Kew","$2,590,000 - $2,800,000",House,,,,Vince Naz
4,4,7,"210-212 Burwood Highway, Burwood","Private Sale: $3,500,000",House,,,"1,266m²",Jenny Gao
,,,,,,,,,
2,2,3,"2/47 Gillard Street, Burwood",,Townhouse,Inspection Sat 20 Sep 11:30 am,Inspection Sat 20 Sep,,Janelle Gu
1,1,1,"361 Burwood Highway, Burwood",,,,,54m²,
2,,3,"3/53 Elgar Road, Burwood","$892,500",Townhouse,Inspection Thu 18 Sep 4:00 pm,Inspection Thu 18 Sep,,Tony Kwan
4,,5,"55 Somers Street, Burwood","$ 3,850,000",House,Inspection Thu 18 Sep 3:00 pm,Inspection Thu 18 Sep,649m²,Jessica Chin
2,3,4,"1/13 Ermington Place, Kew","$1,550,000 - $1,650,000",Townhouse,Inspection Thu 18 Sep 12:45 pm,Inspection Thu 18 Sep,,Mark Josem
,,,,,,,,,
2,5,6,"48 Haig Street, Burwood",,House,Inspection Thu 18 Sep 12:00 pm,Inspection Thu 18 Sep,696m²,Sophie Su
,,,,,,,,,
2,1,3,"1/389 Burwood Highway, Burwood","$810,000 - $850,000",Unit,,,,Yang Jiang
1,1,2,"5/11 Renown Street, Burwood","$700,000 - $770,000",Unit,Inspection Wed 17 Sep 5:30 pm,Inspection Wed 17 Sep,205m²,Mannie Psarakis
1,1,1,"G03/77 High Street, Kew","$455,000 - $500,500",Apartment,Inspection Thu 18 Sep 12:00 pm,Inspection Thu 18 Sep,,Sabrina Yue Bu
1,2,2,"102/112 High Street, Kew",,Apartment,,,,Jordan Romero
,,,,,,,,,
1,1,2,"107/373-377 Burwood Highway, Burwood","$430,000 - $470,000",Apartment,Inspection Sat 20 Sep 12:30 pm,Inspection Sat 20 Sep,,Janelle Gu
3,,3,"29 Redmond Street, Kew",,House,Inspection Thu 18 Sep 2:00 pm,Inspection Thu 18 Sep,,Jock Langley
2,1,2,"2/11 Westley Street, Carrum","$680,000 - $730,000",Unit,Inspection Wed 17 Sep 4:40 pm,Inspection Wed 17 Sep,,Shane O'Sughrue
1,1,3,"18 Fulton Crescent, Burwood","AUCTION $1,000,000 - $1,100,000",House,Inspection Sat 20 Sep 12:30 pm,Inspection Sat 20 Sep,428m²,Nicholas Richards
1,2,4,"1/1 Peacock Street, Burwood",,Unit,,,303m²,Tony Che
,,,,,,,,,
6,3,4,"5 Bronte Avenue, Burwood","$2,930,000 - $3,223,000",House,,,"1,992m²",Florence Law
,,"1,795m²","53-55 Station Street, Burwood","$5,800,000 - $6,000,000",Residential land,,,"1,795m²",Sophia Zhu
2,2,3,"G07/16-18 Fellows Street, Kew",,Apartment,Inspection Thu 18 Sep 11:45 am,Inspection Thu 18 Sep,,Daniel Bradd
2,1,3,"6 Eyre Street, Burwood","$1,650,000 - $1,750,000",House,Inspection Sat 20 Sep 12:00 pm,Inspection Sat 20 Sep,811m²,Nicole Lismore
2,2,3,"G08/16-18 Fellows Street, Kew","$2,600,000 - $2,850,000",Apartment,,,,Daniel Bradd
,,,,,,,,,
,,673m²,"88  Wills  Street, Kew",,Residential land,,,673m²,Sophie Su
2,2,2,"105/16-18 Fellows Street, Kew","$1,750,000",Apartment,,,,Daniel Bradd
3,,4,"139 Cotham Road, Kew","$3,500,000 - $3,800,000",House,Inspection Sat 20 Sep 12:00 pm,Inspection Sat 20 Sep,899m²,Daiman Kane
3,2,4,"1/51 Cobden Street, Kew",$1.7m-$1.8m,Townhouse,Inspection Wed 17 Sep 1:30 pm,Inspection Wed 17 Sep,,Julie Taylor
1,1,2,"3/218 Princess Street, Kew",,Townhouse,Inspection Thu 18 Sep 12:45 pm,Inspection Thu 18 Sep,,Helen Yan
,,,,,,,,,
3,,5,"25 Wrixon Street, Kew",,House,,,"1,858m²",Chris Barrett
2,1,2,"2/3 Wridgway Avenue, Burwood","$730,000 - $800,000",Unit,Inspection Thu 18 Sep 3:00 pm,Inspection Thu 18 Sep,,Tim Heavyside
2,2,3,"107/367 Cotham Road, Kew","$1,700,000 - $1,870,000",Apartment,Inspection Thu 18 Sep 11:00 am,Inspection Thu 18 Sep,,Nick O'Halloran
1,1,1,"101/140 Cotham Road, Kew","$360,000 - $390,000",Apartment,,,44m²,Philip Middlemiss
2,1,2,"219 Wiltshire Drive, Kew","$759,000",Townhouse,,,107m²,Sebastian Scanlon
,,,,,,,,,
2,1,3,"14-16 Hickory Crescent, Frankston North","$1,300,000 - $1,430,000",House,,,"1,230m²",
,,,,,,,,,
2,,3,"104/23 Maleela Ave, Balwyn","$2,850,000",Apartment,,,200m²,
,,1,"36/12 Lisson Grove, Hawthorn","$410,000",Retirement living,,,24.75m²,
2,3,4,"Address available on request, Balwyn North",,Townhouse,,,,
1,2,2,"2208/36 Prospect Street, Box Hill","$710,000 to $732,000",Apartment,,,83m²,
,,,,,,,,,
2,3,4,"Address available on request, Ashwood",,Townhouse,,,,
4,,4,"13 Bedford Street, Box Hill",,Townhouse,,,300m²,
1,,2,"3201/850 whitehorse rd, Box Hill","$700,000 - $750,000",Apartment,,,,
1,1,2,"B320/8 Grosvenor Street, Abbotsford",,Apartment,,,,
2,4,4,"1/335 Riversdale Road, Hawthorn East","$1,950,000 to $2,035,000",House,,,238m²,
,,,,,,,,,
1,2,2,"109/363 High Street, Ashburton","$965,000",Unit,,,103.6m²,
4,2,4,"19 Swallow Court, Patterson Lakes","$2,900,000 - $3,190,000",House,,,747m²,
1,1,2,"145/130 Mcleod Road, Patterson Lakes","$475,000*",Retirement living,,,,
2,2,4,"27 Munro Avenue, Mount Waverley",,Townhouse,,,224m²,
1,1,1,"117/45 Banool Road, Balwyn","$756,000",Retirement living,,,56.06m²,
,,,,,,,,,
,,1,"29/12 Lisson Grove, Hawthorn","$370,000",Retirement living,,,,
3,,5,"Address available on request, Balwyn North","$2,680,000",Townhouse,,,,
1,1,1,"1/5 ARCHIBALD STREET, Box Hill",,Apartment,,,26m²,
,1,1,"UNIT 205/8 New Street, Richmond","$330,000 - $360,000",Apartment,,,50m²,
1,1,1,"224/45 Banool Road, Balwyn","$695,000",Retirement living,,,59.3m²,
,,,,,,,,,
1,2,3,"503/999 Whitehorse Road, Box Hill",$780k-810k | All offers welcome!,Apartment,,,,
2,2,5,"33 Yarralea Street, Alphington","$3,688,888 - $3,888,888",House,,,797m²,
1,1,2,"2502/36 Prospect Street, Box Hill","$768,000 to $788,000",Apartment,,,102m²,
1,1,1,"303./629 Canterbury Road, Surrey Hills","$333,000",Apartment,,,,
3,,4,"Address available on request, Burwood East","$2,850,000",House,,,,
,,,,,,,,,
1,1,2,"37/262 Heidelberg Road, Fairfield","$580,000 to $620,000",Apartment,,,,
,,,,,,,,,
2,2,4,"Address available on request, Glen Iris","$2,550,000",House,,,909m²,
1,2,2,"906/9 Prospect Street, Box Hill","$570,000 - $590,000",Apartment,,,,
1,1,1,"111/45-51 Banool Road, Balwyn","$695,000 - Retirement",Retirement living,,,49.7m²,
,1,1,"55/300 Elgar Road, Box Hill South","RETIREMENT LIVING $390,000",Apartment,,,,
,,,,,,,,,
1,,1,"912/1 Glenferrie Place, Hawthorn","Ready to go at $130-143,000",Apartment,,,20m²,
1,1,1,"4/361 Heidelberg Rd, Fairfield","$350,000 - $365,000",Apartment,,,,
2,2,3,"2.05/1 Khartoum Street, Richmond","$1,314,000",Retirement living,,,130m²,
1,1,3,"13 Ruskin Road, Glen Iris","$1,895,000",House,,,557m²,
1,1,1,"3.02/125 Bell Street, Ivanhoe","$400,000 - $440,000",Apartment,,,,
,,,,,,,,,
1,1,1,"251A St Georges Road, Northcote","$550,000 + GST",Apartment,,,79m²,
1,3,3,"545 Station Street, Box Hill","Price Guide: $911,111 - $991,111",Apartment,,,,
,1,2,"1708/11 Prospect Street, Box Hill","$465,000",Apartment,,,70m²,
,3,4,"Address available on request, Ivanhoe","$1,500,000",Townhouse,,,,
3,2,3,"Address available on request, Hawthorn East","$2,150,000",Townhouse,,,,
,,,,,,,,,
3,,4,"Address available on request, Camberwell","$2,780,000",Townhouse,,,,
3,,3,"Address available on request, Burwood East","$1,200,000",Townhouse,,,,
4,,4,"Address available on request, Box Hill","$2,550,000",Townhouse,,,,
2,2,3,"Address available on request, Mount Waverley","Private Sale-$1,050,000-$1,150,000",Unit,,,350m²,
1,1,3,"13 Ophir Road, Mount Waverley",,House,,,766m²,
,,,,,,,,,
1,1,1,"116/112-124 Middleborough Road, Blackburn South","$379,000",Apartment,,,,
1,2,3,"1209/845-851 Whitehorse Road, Box Hill","$739,000-759,000",Apartment,,,97m²,
,1,1,"Address available on request, Abbotsford","$535,000",Apartment,,,,
1,2,2,"2609/545 Station Street, Box Hill","$670,000.00 -690,000.00",Apartment,,,75m²,
1,2,3,"2 Berwen Street, Chelsea",,House,,,615m²,
,,,,,,,,,
2,3,4,"Address available on request, Burwood East","$1,820,000",Townhouse,,,236m²,
,,,,,,,,,
,1,1,"320/2 Eastern Place, Hawthorn East",,Apartment,,,,
3,3,4,"Address available on request, Box Hill South","$1,790,000",Townhouse,,,,
1,2,3,"201/85 Yarrbat Place, Balwyn","$1,250,000 - Retirement Living",Retirement living,,,,
1,1,1,"5/20 Burnley street, Richmond","$409,000",Apartment,,,,
,,,,,,,,,
2,2,3,"732/20 Shamrock Street, Abbotsford",,Apartment,Inspection tomorrow 4:00 pm,Inspection tomorrow,,
3,,3,"Address available on request, Camberwell","$1,295,000",Townhouse,,,,
2,3,4,"Address available on request, Burwood East",,Townhouse,,,,
2,1,2,"518/4-14 Burke Avenue, Hawthorn East","ESR: $705,000 - $775,000",Apartment,Inspection Wed 17 Sep 5:30 pm,Inspection Wed 17 Sep,76m²,
2,4,4,"Address available on request, Mount Waverley","$1,910,000",Townhouse,,,236.9m²,
,,,,,,,,,
2,3,3,"Address available on request, Mount Waverley","$1,295,000",Townhouse,,,177m²,
1,1,1,"G05/264 Waterdale Road, Ivanhoe","$370,000 - $400,000",Apartment,Inspection Sat 20 Sep 10:00 am,Inspection Sat 20 Sep,,
2,3,3,"Address available on request, Ivanhoe","$1,585,000",Townhouse,,,162.4m²,
1,3,2,"Address available on request, Ivanhoe","$970,000",Townhouse,,,107m²,
,1,1,"22/1219-1221 Riversdale Road, Box Hill South","$275,000",Apartment,,,,
,,,,,,,,,
3,,3,"Address available on request, Balwyn North","$1,750,000",Townhouse,,,,
2,1,3,"12 Malcolm Court, Mount Waverley",,House,,,792m²,
1,,2,"709/17 Arnold Street, Box Hill","530,000-570,000",Apartment,,,66.5m²,
3,4,4,"Address available on request, Hawthorn","$3,520,000",Apartment,,,372m²,
2,2,3,"Address available on request, Hawthorn","$2,500,000",Apartment,,,171m²,
,,,,,,,,,
2,2,2,"Address available on request, Hawthorn","$1,525,000",Apartment,,,114m²,
1,2,2,"402/171 Buckingham Street, Richmond","$830,000",Apartment,,,87m²,
3,2,3,"505/171 Buckingham Street, Richmond","$1,340,000",Apartment,,,,
2,,2,"Address available on request, Abbotsford","$860,000",Block of units,,,,
1,2,2,"10/204 Whitehorse Road, Balwyn","$640,000 - $680,000",Apartment,,,,
,,,,,,,,,
4,,4,"Address available on request, Ashburton","$1,815,000",Townhouse,,,200m²,
,,,,,,,,,
4,,4,"Address available on request, Box Hill South","$1,740,000",Townhouse,,,196.3m²,
2,3,4,"Address available on request, Ashwood","$1,695,000",Townhouse,,,193m²,
3,,4,"Address available on request, Balwyn North","$1,690,000",Townhouse,,,193.9m²,
1,1,1,"24-26 Lower Heidelberg Road, Ivanhoe","$545,000",Apartment,,,,
,,,,,,,,,
1,1,1,"24-26 Lower Heidelberg Road, Ivanhoe","$565,000",Apartment,,,,
1,2,2,"24-26 Lower Heidelberg Road, Ivanhoe","$735,000",Apartment,,,,
2,,2,"24-26 Lower Heidelberg Road, Ivanhoe","$869,000",Apartment,,,,
1,1,2,"24-26 Lower Heidelberg Road, Ivanhoe","$729,000",Apartment,,,,
2,,2,"24-26 Lower Heidelberg Road, Ivanhoe","$975,000",Apartment,,,,
,,,,,,,,,
3,3,3,"604/765-769 Toorak Road, Hawthorn East","From $1,395,000 - $1,550,000",Apartment,Inspection Sat 20 Sep 2:00 pm,Inspection Sat 20 Sep,,
2,2,3,"602/765-769 Toorak Road, Hawthorn East","From $1,170,000 - $1,300,000",Apartment,Inspection Sat 20 Sep 2:00 pm,Inspection Sat 20 Sep,,
2,2,3,"G02/765-769 Toorak Road, Hawthorn East","From $1,305,000 - $1,450,000",Apartment,Inspection Sat 20 Sep 2:00 pm,Inspection Sat 20 Sep,,
,1,1,"212/1-5 Queens Avenue, Hawthorn",$110k,Unit,,,,
2,3,4,"Address available on request, Burwood East","$1,820,000",Townhouse,,,236.2m²,
,,,,,,,,,
1,2,2,"1401 The Tate Scotch Hill Gardens, Hawthorn","$1,350,000",Apartment,,,90m²,
3,,4,"Address available on request, Blackburn South","$1,750,000",Townhouse,,,230m²,
2,3,4,"Address available on request, Balwyn North","$1,765,000",Townhouse,,,207.2m²,
2,3,4,"Address available on request, Balwyn North","$1,695,000",Townhouse,,,193.9m²,
